Label version,Model,Balancing,Accuracy,Neg Recall,Pos Recall,Neutral Recall,Macro F1,Weighted F1
Before (buggy labels),SVM,None,0.901,0.0,0.125,0.9988751406074241,0.3891796610169492,0.8649760542372882
Before (buggy labels),NN,None,0.885,0.14285714285714285,0.3557692307692308,0.952755905511811,0.5302668503263887,0.8762899958314077
Before (buggy labels),SVM,ROS,0.908,0.14285714285714285,0.2980769230769231,0.9853768278965129,0.539675792929589,0.8899639883918626
Before (buggy labels),NN,ROS,0.88,0.14285714285714285,0.375,0.9448818897637795,0.5298611111111111,0.8737333333333334
Before (buggy labels),SVM,RUS,0.573,0.2857142857142857,0.6730769230769231,0.5635545556805399,0.3454501986428999,0.654654146187111
Before (buggy labels),NN,RUS,0.382,0.5714285714285714,0.7596153846153846,0.3363329583802025,0.2658735245720369,0.4682098932856549
Before (buggy labels),SVM,SMOTE,0.911,0.14285714285714285,0.25,0.9943757030371203,0.5290861405293285,0.8882023664213486
Before (buggy labels),NN,SMOTE,0.877,0.14285714285714285,0.40384615384615385,0.9381327334083239,0.5330779102810904,0.8731590852271306
Before (buggy labels),SVM,ADASYN,0.911,0.14285714285714285,0.25,0.9943757030371203,0.5290861405293285,0.8882023664213486
Before (buggy labels),NN,ADASYN,0.881,0.14285714285714285,0.4230769230769231,0.9403824521934758,0.5404558725079238,0.8772142199388319
Before (buggy labels),SVM,Borderline-SMOTE,0.909,0.0,0.25,0.9932508436445444,0.44444972388524606,0.8852003547784218
Before (buggy labels),NN,Borderline-SMOTE,0.879,0.14285714285714285,0.3942307692307692,0.9415073115860517,0.5329447280234153,0.8741123206029155
After (fixed labels),SVM,None,0.888,0.20408163265306123,0.9613095238095238,0.8315412186379928,0.7023993396874753,0.876288465969822
After (fixed labels),NN,None,0.896,0.4489795918367347,0.9538690476190477,0.8351254480286738,0.778095220304491,0.8922677302753707
After (fixed labels),SVM,ROS,0.902,0.3673469387755102,0.9508928571428571,0.8781362007168458,0.7706729696420419,0.8966158676375171
After (fixed labels),NN,ROS,0.899,0.4489795918367347,0.9449404761904762,0.8673835125448028,0.7741537644363063,0.8967444604228649
After (fixed labels),SVM,RUS,0.701,0.8367346938775511,0.6726190476190477,0.7455197132616488,0.6168595293981473,0.7235814865031432
After (fixed labels),NN,RUS,0.688,0.7346938775510204,0.7276785714285714,0.5842293906810035,0.5710216692039859,0.7163434046499247
After (fixed labels),SVM,SMOTE,0.89,0.32653061224489793,0.9553571428571429,0.8315412186379928,0.7472009093492469,0.8828327365728899
After (fixed labels),NN,SMOTE,0.895,0.4897959183673469,0.9360119047619048,0.8673835125448028,0.7820240591535356,0.8937357609854867
After (fixed labels),SVM,ADASYN,0.895,0.32653061224489793,0.9613095238095238,0.8351254480286738,0.7549281747879446,0.8875007286131608
After (fixed labels),NN,ADASYN,0.896,0.46938775510204084,0.9434523809523809,0.8566308243727598,0.775578588078588,0.8939836829836829
After (fixed labels),SVM,Borderline-SMOTE,0.895,0.32653061224489793,0.9568452380952381,0.8458781362007168,0.7553865199046551,0.887771688085132
After (fixed labels),NN,Borderline-SMOTE,0.885,0.4489795918367347,0.9345238095238095,0.8422939068100358,0.751113616607419,0.8838890301381485
